posteam,Pass-Pass,Pass-Run,Run-Pass,Run-Run
ARI,25.493716337522443,18.31238779174147,36.2657091561939,19.92818671454219
ATL,14.206642066420663,15.867158671586715,41.14391143911439,28.782287822878228
BAL,23.168654173764907,18.39863713798978,33.560477001703575,24.87223168654174
BUF,26.837606837606838,21.88034188034188,31.62393162393162,19.65811965811966
CAR,23.978685612788635,19.182948490230906,29.307282415630553,27.53108348134991
CHI,17.78584392014519,23.593466424682397,29.401088929219597,29.219600725952816
CIN,32.03252032520325,13.658536585365855,34.959349593495936,19.349593495934958
CLE,19.897084048027445,17.83876500857633,37.39279588336192,24.871355060034304
DAL,22.473867595818817,20.034843205574912,35.36585365853659,22.125435540069684
DEN,21.206581352833638,24.131627056672762,33.820840950639855,20.840950639853748
DET,18.53932584269663,24.531835205992508,34.08239700374532,22.846441947565545
GB,23.901581722319857,17.398945518453427,34.09490333919156,24.604569420035148
HOU,22.144112478031637,17.57469244288225,34.09490333919156,26.18629173989455
IND,25.265017667844525,14.487632508833922,31.09540636042403,29.151943462897528
JAX,27.59295499021526,15.459882583170254,35.42074363992172,21.52641878669276
KC,29.249617151607964,18.529862174578867,36.447166921898926,15.773353751914243
LA,26.22673434856176,15.228426395939088,34.85617597292725,23.688663282571913
LAC,31.738437001594892,15.47049441786284,34.13078149920255,18.660287081339714
LV,26.34508348794063,17.439703153988866,32.467532467532465,23.747680890538035
MIA,24.029574861367838,15.526802218114602,37.15341959334565,23.290203327171906
MIN,22.772277227722775,21.287128712871286,35.148514851485146,20.792079207920793
NE,26.062846580406656,17.005545286506468,34.195933456561924,22.73567467652495
NO,18.69488536155203,19.576719576719576,34.21516754850088,27.513227513227513
NYG,22.735346358792185,22.735346358792185,26.287744227353464,28.24156305506217
NYJ,25.8364312267658,16.54275092936803,34.20074349442379,23.42007434944238
PHI,27.796610169491526,13.898305084745763,28.135593220338983,30.16949152542373
PIT,19.508196721311474,20.327868852459016,32.295081967213115,27.86885245901639
SEA,23.941068139963168,16.94290976058932,36.095764272559855,23.02025782688766
SF,18.71657754010695,17.46880570409982,34.046345811051694,29.76827094474153
TB,30.85271317829457,14.883720930232558,37.51937984496124,16.74418604651163
TEN,15.591397849462366,20.25089605734767,37.096774193548384,27.060931899641577
WAS,24.45255474452555,22.445255474452555,27.55474452554745,25.547445255474454
